b031_dong,b076_dong,시도명,시군구명,행정동명,elderly_move_nat,middle_move_nat,youth_move_nat,elderly_move_seoul,middle_move_seoul,youth_move_seoul
11140520,1102052,서울특별시,중구,소공동,97.825,99.65,99.5,82.03309692671394,97.04491725768321,96.09929078014184
11140550,1102055,서울특별시,중구,명동,99.45,99.9,99.85,95.74468085106383,99.29078014184397,98.69976359338062
11410700,1113070,서울특별시,서대문구,남가좌2동,92.75,92.975,95.775,39.361702127659576,42.198581560283685,65.24822695035462
11560535,1119074,서울특별시,영등포구,영등포동,99.825,99.725,99.725,98.58156028368793,97.75413711583924,97.87234042553192
11305615,1109063,서울특별시,강북구,수유1동,92.225,89.625,89.375,35.69739952718676,18.203309692671397,17.73049645390071
11200590,1104059,서울특별시,성동구,금호1가동,90.65,90.575,89.9,23.167848699763592,25.295508274231675,21.27659574468085
11200615,1104072,서울특별시,성동구,금호2·3가동,92.975,91.95,91.625,42.90780141843972,34.2789598108747,32.62411347517731
11200620,1104062,서울특별시,성동구,금호4가동,90.9,89.825,89.7,25.059101654846334,20.094562647754138,19.62174940898345
11200645,1104073,서울특별시,성동구,옥수동,94.55,94.1,93.1,54.1371158392435,52.12765957446809,43.498817966903076
11200650,1104065,서울특별시,성동구,성수1가1동,91.325,93.8,96.15,28.60520094562648,49.1725768321513,68.2033096926714
11200660,1104066,서울특별시,성동구,성수1가2동,90.2,95.5,98.025,19.38534278959811,63.593380614657214,83.21513002364065
11200690,1104068,서울특별시,성동구,성수2가3동,95.925,99.075,99.6,66.903073286052,92.5531914893617,96.6903073286052
11200670,1104067,서울특별시,성동구,성수2가1동,90.45,93.925,95.975,21.631205673758867,50.59101654846335,67.02127659574468
11200720,1104069,서울특별시,성동구,송정동,87.4,87.375,91.1,2.3640661938534278,4.491725768321513,29.078014184397162
11140540,1102054,서울특별시,중구,회현동,99.725,99.625,99.325,97.87234042553192,96.57210401891253,94.68085106382979
11170560,1103072,서울특별시,용산구,원효로1동,89.675,93.35,95.425,15.011820330969266,45.62647754137116,61.938534278959814
