b076_dong,시군구명,행정동명,elderly_rspop,middle_rspop,youth_rspop,total_rspop,elderly_1인세대,middle_1인세대,youth_1인세대,elderly_1인가구율,middle_1인가구율,youth_1인가구율
1101072,종로구,청운효자동,2152,4592,2905,9649,552.0,721.0,604.0,25.650557620817843,15.701219512195122,20.79173838209983
1101053,종로구,사직동,1835,3582,2468,7885,547.0,855.0,954.0,29.809264305177113,23.869346733668344,38.6547811993517
1101054,종로구,삼청동,598,878,520,1996,176.0,195.0,156.0,29.431438127090303,22.209567198177677,30.0
1101055,종로구,부암동,1860,3749,2291,7900,462.0,653.0,549.0,24.838709677419356,17.417978127500668,23.963334788302053
1101056,종로구,평창동,3589,7183,4099,14871,845.0,900.0,488.0,23.54416271942045,12.529583739384659,11.905342766528422
1101057,종로구,무악동,1501,3342,1664,6507,343.0,259.0,96.0,22.85143237841439,7.74985038898863,5.769230769230769
1101058,종로구,교남동,1683,3944,2552,8179,478.0,627.0,555.0,28.401663695781345,15.897565922920892,21.747648902821318
1101060,종로구,가회동,846,1644,914,3404,261.0,387.0,251.0,30.851063829787233,23.54014598540146,27.461706783369806
1101061,종로구,종로1·2·3·4가동,1735,2664,1923,6322,1181.0,1417.0,1341.0,68.06916426512967,53.19069069069069,69.73478939157566
1101063,종로구,종로5·6가동,1068,1887,2080,5035,496.0,733.0,1463.0,46.441947565543074,38.844727080021194,70.33653846153847
1101064,종로구,이화동,1370,2328,2740,6438,484.0,728.0,1732.0,35.32846715328467,31.27147766323024,63.21167883211679
1101073,종로구,혜화동,2673,5185,6318,14176,778.0,1123.0,3822.0,29.105873550317995,21.658630665380908,60.49382716049383
1101067,종로구,창신1동,1207,1907,1138,4252,631.0,571.0,420.0,52.27837613918807,29.94231777661248,36.90685413005272
1101068,종로구,창신2동,1870,3309,1852,7031,778.0,898.0,382.0,41.60427807486631,27.13810818978543,20.626349892008637
1101069,종로구,창신3동,1308,2598,1747,5653,363.0,341.0,243.0,27.75229357798165,13.125481139337952,13.909559244419004
1101070,종로구,숭인1동,1277,2442,1513,5232,476.0,639.0,410.0,37.27486296006265,26.16707616707617,27.09847984137475
1101071,종로구,숭인2동,1731,3362,4159,9252,786.0,1312.0,2997.0,45.407279029462735,39.02439024390244,72.06059148833855
1102052,중구,소공동,275,953,671,1899,91.0,335.0,315.0,33.09090909090909,35.15215110178384,46.944858420268254
1102054,중구,회현동,1269,1797,943,4009,552.0,515.0,275.0,43.498817966903076,28.65887590428492,29.16224814422057
1102055,중구,명동,724,1034,685,2443,200.0,341.0,340.0,27.624309392265197,32.97872340425532,49.63503649635037
1102057,중구,필동,872,1352,1439,3663,375.0,551.0,990.0,43.0045871559633,40.75443786982248,68.79777623349548
1102058,중구,장충동,885,1349,1944,4178,318.0,375.0,1261.0,35.932203389830505,27.798369162342475,64.86625514403292
1102059,중구,광희동,1120,1875,2438,5433,527.0,784.0,1605.0,47.05357142857143,41.81333333333333,65.83264971287942
1102060,중구,을지로동,486,1018,1265,2769,318.0,517.0,626.0,65.4320987654321,50.785854616895875,49.48616600790513
1102069,중구,신당동,1509,2846,2608,6963,712.0,1046.0,1372.0,47.18356527501656,36.75333801827126,52.60736196319018
1102070,중구,다산동,2897,5003,4270,12170,901.0,1037.0,1386.0,31.101139109423542,20.727563461922845,32.459016393442624
1102071,중구,약수동,4118,6238,4080,14436,1329.0,1045.0,828.0,32.27294803302574,16.752164155177944,20.294117647058822
1102072,중구,청구동,2921,4959,3770,11650,761.0,662.0,582.0,26.052721670660734,13.34946561806816,15.437665782493367
1102065,중구,신당5동,1931,3947,3252,9130,748.0,1021.0,1093.0,38.73640600725013,25.867747656447936,33.61008610086101
1102073,중구,동화동,2052,4125,2424,8601,416.0,442.0,253.0,20.2729044834308,10.715151515151515,10.437293729372938
1102067,중구,황학동,2094,4343,5136,11573,842.0,1288.0,2594.0,40.210124164278895,29.65691918029012,50.50623052959502
1102068,중구,중림동,2221,4841,3411,10473,685.0,1054.0,925.0,30.84196307969383,21.77236108242099,27.118147170917617
1103051,용산구,후암동,3033,6206,4958,14197,1033.0,1463.0,1867.0,34.05868776788658,23.573960683209798,37.65631302944736
1103052,용산구,용산2가동,2064,3214,2959,8237,648.0,863.0,1364.0,31.3953488372093,26.85127566894835,46.09665427509294
1103053,용산구,남영동,1567,3129,1782,6478,1040.0,1688.0,1052.0,66.36885768985323,53.946947906679455,59.0347923681257
1103071,용산구,청파동,3294,6744,7460,17498,1205.0,2055.0,4165.0,36.581663630843956,30.47153024911032,55.83109919571045
1103072,용산구,원효로1동,2072,5851,7081,15004,553.0,1434.0,3262.0,26.68918918918919,24.50863100324731,46.0669396977828
1103057,용산구,원효로2동,2444,5244,4216,11904,612.0,788.0,1266.0,25.040916530278235,15.026697177726925,30.02846299810247
1103058,용산구,효창동,1599,4055,3611,9265,334.0,559.0,871.0,20.888055034396498,13.785450061652282,24.12074217668236
1103059,용산구,용문동,2261,4315,3595,10171,612.0,657.0,955.0,27.06766917293233,15.225955967555041,26.564673157162726
1103073,용산구,한강로동,3218,7600,8076,18894,825.0,1898.0,3277.0,25.637041640770665,24.973684210526315,40.577018325903914
1103063,용산구,이촌1동,4416,10229,5491,20136,732.0,729.0,292.0,16.57608695652174,7.126796363280868,5.317792751775633
1103064,용산구,이촌2동,1819,3105,2099,7023,436.0,536.0,353.0,23.969213853765805,17.262479871175522,16.817532158170557
1103065,용산구,이태원1동,1338,2224,2014,5576,408.0,636.0,792.0,30.493273542600896,28.597122302158272,39.32472691161867
1103066,용산구,이태원2동,1838,3142,2857,7837,489.0,866.0,1220.0,26.60500544069641,27.562062380649266,42.70213510675534
1103074,용산구,한남동,3568,7368,5481,16417,668.0,1469.0,1263.0,18.721973094170405,19.93756786102063,23.043240284619596
1103069,용산구,서빙고동,2140,5259,3014,10413,554.0,664.0,484.0,25.88785046728972,12.625974519870697,16.05839416058394
1103070,용산구,보광동,2682,4933,3594,11209,536.0,784.0,555.0,19.98508575689784,15.89296574092844,15.442404006677796
1104052,성동구,왕십리2동,2734,6267,5012,14013,750.0,997.0,1225.0,27.432333577176298,15.908728259135152,24.441340782122907
1104071,성동구,왕십리도선동,4062,10100,8529,22691,1158.0,1481.0,2395.0,28.508124076809455,14.663366336633663,28.08066596318443
1104054,성동구,마장동,4145,7815,7270,19230,1159.0,1268.0,3137.0,27.96139927623643,16.22520793346129,43.14993122420908
1104055,성동구,사근동,1545,2878,6545,10968,419.0,660.0,4941.0,27.119741100323623,22.932592077831828,75.49274255156608
1104056,성동구,행당1동,2251,5201,4401,11853,607.0,922.0,1499.0,26.96579298089738,17.72736012305326,34.06044080890707
1104057,성동구,행당2동,4143,9281,6030,19454,1015.0,888.0,503.0,24.499155201544774,9.567934489817906,8.341625207296849
1104058,성동구,응봉동,2628,6163,3711,12502,551.0,651.0,419.0,20.966514459665145,10.563037481745903,11.290757208299649
1104059,성동구,금호1가동,2821,5993,3858,12672,833.0,824.0,543.0,29.528535980148884,13.749374269981645,14.074650077760499
1104072,성동구,금호2·3가동,4070,8765,6276,19111,1004.0,1382.0,1004.0,24.668304668304668,15.767256132344551,15.997450605481198
1104062,성동구,금호4가동,2621,5762,3658,12041,758.0,931.0,603.0,28.9202594429607,16.157584172162444,16.48441771459814
1104073,성동구,옥수동,4405,10083,6986,21474,939.0,1340.0,810.0,21.316685584562997,13.289695527124865,11.594617807042656
1104065,성동구,성수1가1동,2437,6224,5056,13717,674.0,1160.0,1315.0,27.656955272876488,18.637532133676093,26.00870253164557
1104066,성동구,성수1가2동,2045,4523,4086,10654,541.0,1032.0,1567.0,26.45476772616137,22.81671456997568,38.35046500244738
1104067,성동구,성수2가1동,2998,6007,4305,13310,994.0,1439.0,1237.0,33.15543695797198,23.955385383718994,28.73403019744483
1104068,성동구,성수2가3동,1874,3769,3504,9147,408.0,819.0,1362.0,21.77161152614728,21.72990183072433,38.86986301369863
1104069,성동구,송정동,1897,3998,2996,8891,646.0,1081.0,1170.0,34.05376910911966,27.03851925962982,39.0520694259012
1104070,성동구,용답동,2272,4222,4684,11178,938.0,1512.0,3006.0,41.28521126760563,35.812411179535765,64.17591801878736
1105053,광진구,화양동,2376,4886,15124,22386,804.0,2177.0,11881.0,33.83838383838384,44.55587392550143,78.55725998413118
1105054,광진구,군자동,3257,6513,7774,17544,1061.0,1695.0,4245.0,32.575990175007675,26.024873330262555,54.60509390275276
1105055,광진구,중곡1동,2692,5469,5861,14022,906.0,1452.0,2605.0,33.655274888558694,26.54964344487109,44.44634021498038
1105056,광진구,중곡2동,3566,7919,7014,18499,1121.0,1673.0,2581.0,31.43578238923163,21.126404849097106,36.79783290561734
1105057,광진구,중곡3동,3055,6184,5092,14331,1197.0,1617.0,1690.0,39.18166939443535,26.148124191461836,33.18931657501964
1105058,광진구,중곡4동,5593,11286,8016,24895,1648.0,2096.0,1957.0,29.465403182549615,18.57168172957647,24.413672654690618
1105059,광진구,능동,1713,3743,4714,10170,471.0,1028.0,2411.0,27.495621716287218,27.464600587763826,51.145523971149764
1105063,광진구,광장동,4161,14843,7196,26200,759.0,867.0,711.0,18.240807498197547,5.841137236407734,9.880489160644803
1105064,광진구,자양1동,3788,8251,7718,19757,1277.0,2048.0,3530.0,33.7117212249208,24.821233789843657,45.73723762632807
1105065,광진구,자양2동,4337,9504,6898,20739,1029.0,1609.0,2231.0,23.726077934055798,16.929713804713806,32.34270803131342
1105066,광진구,자양3동,4649,10895,7339,22883,,,,,,
1105067,광진구,자양4동,4050,7477,6604,18131,945.0,1072.0,1249.0,23.333333333333332,14.337301056573493,18.912780133252575
1105060,광진구,구의1동,3439,8333,9364,21136,1109.0,2214.0,4589.0,32.247746437918,26.569062762510498,49.00683468603161
1105061,광진구,구의2동,4714,10547,6938,22199,1342.0,1747.0,1534.0,28.468392023759016,16.56395183464492,22.110118189680023
1105062,광진구,구의3동,4569,10778,8601,23948,907.0,1410.0,2141.0,19.851170934558983,13.08220449062906,24.89245436577142
1106081,동대문구,용신동,6554,13877,14073,34504,1658.0,2176.0,3527.0,25.297528227036924,15.680622612956691,25.06217579762666
1106082,동대문구,제기동,5713,8082,7409,21204,2073.0,1965.0,3565.0,36.28566427446175,24.31328878990349,48.11715481171548
1106083,동대문구,전농1동,6106,12461,9226,27793,2171.0,2532.0,3162.0,35.55519161480511,20.319396517133455,34.27270756557555
1106084,동대문구,전농2동,3911,7421,4123,15455,970.0,886.0,467.0,24.801840961390948,11.939091766608275,11.326703856415232
