ADM_CD,경로당,노인복지관,노인의료복지시설
11010530,1,0,0
11010540,2,0,0
11010550,2,0,3
11010560,6,0,10
11010570,5,0,0
11010580,6,0,0
11010600,4,0,0
11010610,3,1,0
11010630,3,0,0
11010640,5,1,1
11010670,3,0,0
11010680,4,0,0
11010690,4,0,0
11010700,3,0,0
11010710,5,0,0
11010720,2,0,0
11010730,6,0,0
11020520,2,0,0
11020540,4,0,0
11020550,1,0,0
11020570,1,0,2
11020580,2,0,0
11020590,2,0,0
11020600,1,0,0
11020650,8,0,0
11020670,3,0,0
11020680,5,0,0
11020690,2,0,0
11020700,3,0,0
11020710,5,1,1
11020720,5,1,0
11020730,6,0,0
11030510,5,0,0
11030520,3,0,0
11030530,3,0,0
11030570,7,0,0
11030580,7,0,2
11030590,5,0,0
11030630,9,0,0
11030640,5,0,0
11030650,4,0,0
11030660,4,0,0
11030690,5,0,0
11030700,9,0,0
11030710,5,1,0
11030720,6,0,0
11030730,10,0,0
11030740,6,1,1
11040520,15,1,0
11040540,15,1,0
11040550,8,1,0
11040560,6,0,1
11040570,9,0,0
11040580,9,0,0
11040590,7,1,0
11040620,10,0,1
11040650,13,0,0
11040660,8,1,0
11040670,8,0,4
11040680,10,0,0
11040690,6,1,0
11040700,4,1,1
11040710,10,1,3
11040720,12,0,1
11040730,15,0,0
11050530,4,0,1
11050540,5,1,2
11050550,2,0,1
11050560,2,0,4
11050570,2,0,1
11050580,4,0,1
11050590,1,0,0
11050600,5,0,3
11050610,4,0,3
11050620,9,0,1
11050630,21,0,2
11050640,5,0,4
11050650,11,1,1
11050660,17,0,0
11050670,7,0,0
11060710,3,0,0
11060720,8,0,0
11060730,11,0,2
11060800,9,1,2
11060810,12,0,0
11060820,11,0,12
11060830,11,0,0
11060840,9,2,1
11060860,18,0,9
11060870,9,0,0
11060880,12,0,5
11060890,6,0,0
11060900,10,0,0
11060910,12,0,2
11070520,5,1,3
11070540,10,0,1
11070550,5,0,1
11070570,11,0,1
11070590,11,0,4
11070600,3,0,4
11070610,3,1,0
11070620,4,0,10
11070640,15,0,0
11070650,5,0,4
11070680,2,0,8
11070690,22,1,5
11070700,8,1,1
11070710,8,0,2
11070720,8,1,1
11070730,14,0,7
11080580,9,0,0
11080590,9,0,1
11080600,6,0,2
11080610,8,0,3
11080620,12,0,0
11080630,14,0,2
11080640,5,2,2
11080650,11,0,1
11080660,15,0,1
11080680,7,0,0
11080710,10,0,2
11080720,9,1,6
11080760,6,0,0
11080770,3,0,0
11080780,7,1,0
11080810,6,0,1
11080820,9,1,1
11080830,7,0,2
11080840,19,1,3
11080850,9,1,1
11090600,6,0,0
11090610,9,0,3
11090620,12,0,2
11090630,5,0,5
11090640,8,0,6
11090650,3,0,5
11090690,12,0,0
11090700,8,0,4
11090710,11,0,2
11090720,8,0,0
11090730,7,0,0
11090740,6,0,2
11090750,7,1,8
11100510,11,1,0
11100520,6,1,16
11100530,5,0,0
11100540,11,0,1
11100550,12,0,22
11100560,5,1,0
11100570,18,0,3
11100590,7,0,0
11100600,9,0,8
11100610,6,1,1
11100620,9,0,2
11100630,14,0,6
11100640,10,1,5
11100650,13,0,7
11110510,16,1,1
11110520,17,0,0
11110530,12,0,0
11110560,25,1,1
11110580,11,1,0
11110590,6,0,1
11110600,15,0,0
11110610,9,0,0
11110640,14,0,1
11110650,27,2,4
11110660,13,0,6
11110690,10,0,9
11110720,3,0,0
11110730,4,0,2
11110740,5,0,0
11110760,16,0,0
11110770,10,0,1
11110780,10,0,1
11110790,18,0,1
11120510,11,0,4
11120520,19,1,0
11120550,4,1,2
11120560,7,0,1
11120570,10,0,2
11120580,4,0,0
11120590,7,0,0
11120600,11,0,0
11120650,13,0,1
11120660,9,1,2
11120670,10,0,0
11120680,11,0,5
11120710,39,1,2
11120720,8,0,0
11120730,2,1,1
11120740,4,2,2
11130520,10,1,1
11130620,12,0,0
11130640,10,0,0
11130650,8,1,0
11130660,12,0,2
11130680,12,0,0
11130690,4,0,0
11130700,11,0,0
11130710,9,0,0
11130720,8,2,3
11130730,4,0,7
11130740,9,0,0
11130750,4,0,0
11130760,9,1,5
11140590,9,1,0
11140600,5,1,0
11140610,7,0,1
11140630,15,0,0
11140660,6,0,0
11140680,3,0,0
11140690,4,0,0
11140700,5,0,0
11140710,5,0,0
11140720,4,0,0
11140730,20,0,1
11140740,16,0,0
11140750,13,0,0
11140760,13,1,0
11140770,20,1,0
11140780,13,0,2
11150510,15,0,0
11150520,11,0,0
11150530,6,0,2
11150540,8,1,3
11150570,4,0,2
11150580,10,0,0
11150590,4,1,0
11150600,11,0,2
11150610,6,0,0
11150620,9,0,0
11150630,8,1,3
11150640,5,0,2
11150650,13,0,1
11150660,27,0,1
11150690,4,0,0
11150700,12,1,2
11150710,11,0,0
11150720,5,0,4
11160510,34,0,0
11160520,14,0,1
11160530,8,0,2
11160540,16,1,1
11160550,5,1,3
11160570,2,0,1
11160580,5,0,1
11160590,5,0,0
11160610,7,1,0
11160630,5,1,1
11160650,6,0,0
11160660,8,0,0
11160670,13,0,11
11160690,11,0,0
11160700,25,1,3
11160710,11,0,3
11160730,7,1,8
11160740,8,0,4
11160751,16,0,2
11160761,16,0,2
11170510,19,0,0
11170520,13,0,0
11170540,10,0,0
11170550,13,0,0
11170560,17,1,1
11170610,18,0,3
11170620,12,0,3
11170640,12,0,0
11170650,6,0,2
11170670,15,0,3
11170690,10,1,0
11170700,2,0,1
11170710,16,0,2
11170720,14,0,1
11170730,22,0,2
11170740,9,0,0
11180510,7,0,2
11180520,22,3,6
11180530,2,0,4
11180540,7,0,4
11180550,4,1,1
11180570,10,1,7
11180580,10,0,1
11180590,4,0,0
11180600,6,0,0
11180610,6,0,0
11190540,7,0,0
11190550,13,0,0
11190560,17,0,0
11190610,14,0,0
11190620,12,0,0
11190630,8,0,2
11190650,7,0,3
11190660,4,0,0
11190670,6,0,0
11190680,9,0,0
11190690,6,0,0
11190700,8,1,11
11190710,6,0,0
11190720,12,0,2
11190730,8,0,0
11190740,8,0,0
11190750,8,0,1
11190760,25,1,1
11200520,1,0,0
11200530,15,1,2
11200540,12,0,0
11200550,6,0,1
11200560,8,0,1
11200630,3,1,1
11200650,13,0,0
11200660,6,0,0
11200670,7,0,0
11200680,16,1,0
11200690,10,0,0
11200700,6,0,5
11200710,15,0,0
11200720,20,0,1
11200730,14,0,0
11210520,3,1,3
11210540,5,0,0
11210570,7,0,0
11210580,3,0,0
11210610,3,0,0
11210620,6,0,0
11210630,3,0,0
11210640,4,0,0
11210650,3,0,0
11210660,4,0,5
11210680,3,0,2
11210690,3,0,0
11210710,10,0,1
11210720,5,0,4
11210730,3,0,1
11210780,8,0,1
11210790,8,0,0
11210800,8,0,3
11210810,6,0,1
11210820,9,0,1
11210830,10,0,11
11220510,5,1,1
11220520,7,0,0
11220530,7,0,0
11220540,9,0,0
11220550,14,0,0
11220570,7,0,1
11220580,5,1,0
11220590,7,0,0
11220600,7,0,0
11220610,3,0,0
11220620,5,0,1
11220630,6,1,0
11220640,9,1,0
11220650,5,1,0
11220660,26,1,1
11220670,5,0,0
11220680,17,1,1
11230510,5,0,0
11230511,7,0,0
11230520,4,1,1
11230530,6,0,1
11230580,4,1,1
11230590,13,0,0
11230600,9,0,0
11230630,3,1,1
11230640,8,1,1
11230650,15,1,1
11230660,9,1,0
11230670,9,0,0
11230680,5,0,0
11230710,5,0,2
11230720,11,0,0
11230730,4,0,2
11230750,8,0,0
11230760,25,0,2
11230770,6,1,0
11230780,10,0,0
11230790,9,0,0
11230800,10,0,0
11240510,6,0,0
11240520,11,0,0
11240530,6,0,1
11240540,10,0,1
11240550,7,0,2
11240560,9,0,9
11240570,5,0,0
11240580,2,0,0
11240590,3,0,0
11240600,15,0,2
11240610,4,3,0
11240620,7,0,0
11240630,3,0,3
11240640,2,1,2
11240650,11,0,2
11240660,7,0,0
11240670,10,0,0
11240680,6,0,1
11240690,4,0,0
11240710,5,0,0
11240750,4,0,0
11240770,4,0,0
11240780,2,0,0
11240790,3,0,0
11240800,3,0,0
11240810,18,2,1
11240820,14,0,1
11250530,7,0,2
11250540,6,1,1
11250550,6,1,2
11250560,4,0,0
11250580,3,0,1
11250590,7,0,0
11250610,6,0,4
11250630,11,0,0
11250650,6,0,0
11250660,4,0,0
11250670,5,0,0
11250710,14,0,1
11250720,10,0,3
11250730,6,1,4
11250740,10,0,5
11250750,17,0,3
11250760,12,0,0
11250770,6,0,1
