ADM_CD,병의원,약국
11010530,35,16
11010540,5,2
11010550,1,1
11010560,5,5
11010570,2,4
11010580,11,15
11010600,0,2
11010610,57,62
11010630,27,32
11010640,6,12
11010670,21,10
11010680,5,3
11010700,6,3
11010710,11,7
11010720,3,5
11010730,12,18
11020520,26,17
11020540,34,22
11020550,118,55
11020570,9,7
11020580,3,1
11020590,20,18
11020600,14,10
11020650,13,7
11020670,15,8
11020680,9,6
11020690,9,12
11020700,21,11
11020710,22,13
11020720,5,3
11020730,5,4
11030510,6,7
11030520,3,4
11030530,22,12
11030570,4,3
11030580,7,6
11030590,2,3
11030630,20,10
11030640,0,1
11030650,6,5
11030660,6,3
11030700,6,6
11030710,8,10
11030720,11,7
11030730,50,26
11030740,20,13
11040520,9,6
11040540,8,8
11040550,2,11
11040560,30,15
11040570,12,4
11040580,2,2
11040590,10,7
11040620,25,8
11040650,9,6
11040660,24,8
11040670,12,11
11040680,30,18
11040690,4,5
11040700,10,8
11040710,39,24
11040720,13,10
11040730,20,11
11050530,35,21
11050540,20,14
11050550,20,16
11050560,30,13
11050570,11,9
11050580,14,9
11050590,10,7
11050600,18,12
11050610,15,12
11050620,36,16
11050630,15,10
11050640,32,20
11050650,15,10
11050660,17,11
11050670,30,20
11060710,4,15
11060720,12,11
11060730,4,6
11060800,32,23
11060810,35,22
11060820,18,35
11060830,28,18
11060840,18,15
11060860,26,18
11060870,36,28
11060880,35,24
11060890,33,27
11060900,6,7
11060910,25,12
11070520,12,11
11070540,2,5
11070550,2,3
11070570,35,11
11070590,11,8
11070600,35,15
11070610,11,7
11070620,18,10
11070640,17,13
11070650,14,9
11070680,6,5
11070690,17,15
11070700,14,11
11070710,31,21
11070720,19,19
11070730,45,31
11080580,6,3
11080590,5,4
11080600,6,11
11080610,7,5
11080620,8,6
11080630,14,7
11080640,2,2
11080650,12,11
11080660,26,18
11080680,13,12
11080710,11,9
11080720,16,13
11080760,6,8
11080770,10,9
11080780,6,3
11080810,14,10
11080820,30,18
11080830,38,18
11080840,27,19
11080850,21,16
11090600,32,14
11090610,6,4
11090620,7,7
11090630,11,13
11090640,16,13
11090650,39,19
11090690,25,16
11090700,30,16
11090710,36,19
11090720,17,18
11090730,15,9
11090740,6,9
11090750,11,12
11100510,5,3
11100520,18,11
11100530,10,12
11100540,6,4
11100550,34,18
11100560,7,7
11100570,8,6
11100590,20,7
11100600,9,7
11100610,10,7
11100620,17,11
11100630,20,16
11100640,9,8
11100650,8,8
11110510,23,14
11110520,7,7
11110530,9,8
11110560,23,15
11110580,9,12
11110590,4,3
11110600,19,8
11110610,14,7
11110640,19,13
11110650,23,16
11110660,33,21
11110690,10,11
11110720,18,8
11110730,16,5
11110740,2,1
11110760,11,9
11110770,111,39
11110780,21,13
11110790,36,23
11120510,14,13
11120520,40,19
11120550,28,12
11120560,15,15
11120570,14,8
11120580,62,31
11120590,45,22
11120600,7,8
11120650,17,11
11120660,7,6
11120670,10,9
11120680,7,7
11120710,33,27
11120720,12,10
11120730,23,15
11120740,21,20
11130520,9,6
11130620,25,9
11130640,26,15
11130650,5,6
11130660,7,8
11130680,6,6
11130690,19,9
11130700,21,15
11130710,11,7
11130720,16,12
11130730,11,6
11130740,18,11
11130750,28,35
11130760,15,19
11140590,18,10
11140600,42,22
11140610,6,7
11140630,11,7
11140660,139,46
11140680,18,12
11140690,22,10
11140700,8,8
11140710,2,1
11140720,5,5
11140730,19,17
11140740,33,18
11140750,47,17
11140760,4,5
11140770,37,22
11140780,37,19
11150510,65,23
11150520,12,13
11150530,30,16
11150540,19,13
11150570,9,12
11150580,11,7
11150590,7,8
11150600,11,6
11150610,4,4
11150620,13,6
11150630,10,9
11150640,20,9
11150650,19,10
11150660,28,18
11150690,3,3
11150700,15,10
11150710,22,13
11150720,41,18
11160510,27,14
11160520,27,14
11160530,7,6
11160540,33,26
11160550,15,8
11160570,6,3
11160580,26,12
11160590,19,13
11160610,15,10
11160630,18,11
11160650,21,8
11160660,4,3
11160670,66,39
11160690,24,12
11160700,49,20
11160710,12,10
11160730,42,28
11160740,33,14
11160751,64,36
11160761,6,5
11170510,37,17
11170520,7,5
11170540,40,20
11170550,26,21
11170560,32,15
11170610,22,15
11170620,20,12
11170640,21,11
11170650,11,7
11170670,24,12
11170690,4,4
11170700,3,4
11170710,34,31
11170720,17,15
11170730,14,10
11170740,5,3
11180510,42,27
11180520,30,24
11180530,9,8
11180540,17,16
11180550,3,4
11180570,49,31
11180580,4,7
11180590,4,4
11180600,9,6
11180610,16,17
